url,lastmod
https://www.carrefour.es/supermercado/queso-cheddar-carrefour-300-g/R-VC4AECOMM-308349/p,2024-08-05
https://www.carrefour.es/supermercado/pizza-vegetal-carrefour-350-g/R-prod600095/p,2024-08-05
https://www.carrefour.es/supermercado/cafe-con-leche-descafeinado-en-capsulas-nescafe-dolce-gusto-30-ud/R-VC4AECOMM-059612/p,2024-08-05
https://www.carrefour.es/supermercado/leche-infantil-para-lactantes-desde-el-primer-dia-damira-natur-1-lata-800-g/R-fprod1380200/p,2024-08-05
https://www.carrefour.es/supermercado/crema-facial-de-dia-nutritiva-24h-hidratacion-fp30-para-piel-seca-y-sensible-nivea-50-ml/R-520663941/p,2024-08-05
https://www.carrefour.es/supermercado/chorizo-de-leon-dulce-embutidos-la-encima-sin-gluten-y-sin-lactosa-400-g/R-VC4AECOMM-610054/p,2024-08-05
https://www.carrefour.es/supermercado/lapiz-de-ojos-semi-permanente-waterproof-900-deep-onyx-negro-tattoo-liner-maybelline-1-ud/R-prod1130554/p,2024-08-05
https://www.carrefour.es/supermercado/multivitaminico-sabor-naranja-en-comprimidos-efervescentes-h4u-20-ud/R-VC4AECOMM-624278/p,2024-08-05
https://www.carrefour.es/supermercado/cereales-de-salvado-de-trigo-ricos-en-fibra-con-vitaminas-y-minerales-all-bran-fibre-plus-kelloggs-500-g/R-VC4AECOMM-645282/p,2024-08-05
https://www.carrefour.es/supermercado/merluza-del-cabo-a-la-gallega-frinsa-78-g/R-VC4AECOMM-065721/p,2024-08-05
https://www.carrefour.es/supermercado/tinte-de-cabello-permanente-sin-amoniaco-tono-41-castano-medio-revlon-colorsilk-1-ud/R-826435172/p,2024-08-05
https://www.carrefour.es/supermercado/tarrito-de-pollo-con-arroz-desde-6-meses-nutriben-potitos-sin-gluten-235-g/R-VC4AECOMM-407243/p,2024-08-05
https://www.carrefour.es/supermercado/cebolla-blanca-carrefour-500-g/R-521032278/p,2024-08-05
https://www.carrefour.es/supermercado/te-en-bolsitas-yorkshire-tea-taylors-40-ud/R-prod260189/p,2024-08-05
https://www.carrefour.es/supermercado/queso-fresco-de-vaca-rulo-en-medallones-carrefour-classic-pack-de-2-unidades-de-100-g/R-VC4AECOMM-118267/p,2024-08-05
https://www.carrefour.es/supermercado/leche-fermentada-liquida-sabor-fresa-danone-actimel-kids-pack-de-14-unidades-de-100-g/R-521029675/p,2024-08-05
https://www.carrefour.es/supermercado/galletas-infantiles-desde-10-meses-nestle-pequegalletas-sin-aceite-de-palma-180-g/R-655201713/p,2024-08-05
https://www.carrefour.es/supermercado/arroz-con-leche-dhul-sin-gluten-sin-lactosa-pack-de-2-unidades-de-130-g/R-796400301/p,2024-08-05
https://www.carrefour.es/supermercado/barritas-sustitutivas-de-limon-con-aroma-de-yogur-carrefour-pack-de-6-unidades-de-32-g/R-606638572/p,2024-08-05
https://www.carrefour.es/supermercado/infusion-para-los-gases-de-anis-hinojo-y-alcaravea-aquilea-60-ud/R-590504116/p,2024-08-05
https://www.carrefour.es/supermercado/viena-gourmet-pequena-carrefour-1-ud/R-VC4AECOMM-141039/p,2024-08-05
https://www.carrefour.es/supermercado/pechuga-de-pavo-al-punto-de-sal-classic-carrefour-pack-de-2-unidades-de-52-g/R-VC4AECOMM-083938/p,2024-08-05
https://www.carrefour.es/supermercado/bebida-de-fruta-melocoton-sin-azucar-anadido-juver-disfruta-pack-de-6-brik-de-20-cl/R-520660862/p,2024-08-05
https://www.carrefour.es/supermercado/desodorante-roll-on-antitranspirante-cream-care-carrefour-soft-50-ml/R-VC4AECOMM-668789/p,2024-08-05
https://www.carrefour.es/supermercado/anacardos-crudos-medina-100-g/R-prod871273/p,2024-08-05
